date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:46	183/183	---M-Z	200	added ('OK')	text/plain	etag:%22b64a951b6a1d31:0%22	https://www.daltonstate.edu/robots.txt		(from )
16:10:48	57462/57462	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:41:50%20GMT	https://www.daltonstate.edu/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/index.html	(from )
16:10:48	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2013%20Nov%202022%2010:41:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.googletagmanager.com/gtm.05445.delayed	(from https://www.daltonstate.edu/)
16:10:49	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%229bacd11b8a1d31:0%22	https://www.daltonstate.edu/img/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/img/favicon.ico	(from https://www.daltonstate.edu/)
16:10:51	148206/148206	---M-Z	200	added ('OK')	text/css	etag:%2207e44f210a1d31:0%22	https://www.daltonstate.edu/admin/assets/pkg/bootstrap/css/bootstrap.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/admin/assets/pkg/bootstrap/css/bootstrap.css	(from https://www.daltonstate.edu/)
16:10:51	29157/29157	---M-Z	200	added ('OK')	text/css	etag:%220a8b9711a1d31:0%22	https://www.daltonstate.edu/admin/assets/css/font-awesome.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/admin/assets/css/font-awesome.min.css	(from https://www.daltonstate.edu/)
16:10:52	39578/39578	---M-Z	200	added ('OK')	text/css	etag:%225c0af4f8714d81:0%22	https://www.daltonstate.edu/css/main.css?v=01-28-2022	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/css/main43a3.css	(from https://www.daltonstate.edu/)
16:10:54	96385/96385	---M-Z	200	added ('OK')	application/javascript	etag:%22024e2ef10a1d31:0%22	https://www.daltonstate.edu/admin/assets/js/vendor/jquery-1.11.0.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/admin/assets/js/vendor/jquery-1.11.0.min.js	(from https://www.daltonstate.edu/)
16:10:55	35959/35959	---M-Z	200	added ('OK')	application/javascript	etag:%2207e44f210a1d31:0%22	https://www.daltonstate.edu/admin/assets/pkg/bootstrap/js/bootstrap.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/admin/assets/pkg/bootstrap/js/bootstrap.min.js	(from https://www.daltonstate.edu/)
16:10:56	3057/3057	---M-Z	200	added ('OK')	application/javascript	etag:%2205113f110a1d31:0%22	https://www.daltonstate.edu/admin/assets/js/vendor/jquery.matchHeight-min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/admin/assets/js/vendor/jquery.matchHeight-min.js	(from https://www.daltonstate.edu/)
16:10:57	26806/26806	---M-Z	200	added ('OK')	application/javascript	etag:%2231b05134b8a1d31:0%22	https://www.daltonstate.edu/js/vendor/fastclick.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/js/vendor/fastclick.js	(from https://www.daltonstate.edu/)
16:10:58	26568/26568	---M-Z	200	added ('OK')	application/javascript	etag:%22d5706c558714d81:0%22	https://www.daltonstate.edu/js/main.js?v=01-28-2022	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/js/main43a3.js	(from https://www.daltonstate.edu/)
16:10:59	108471/108471	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2013%20Nov%202022%2010:42:01%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/connect.facebook.net/en_US/fbevents.js	(from https://www.daltonstate.edu/)
16:11:01	50230/50230	---MC-	200	added ('OK')	text/javascript	date:Tue,%2027%20Sep%202022%2022:01:05%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.google-analytics.com/analytics.js	(from https://www.daltonstate.edu/)
16:11:01	25016/25016	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:03%20GMT	https://www.daltonstate.edu/index.cms?contentType=textonly	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/index8ef6.html	(from https://www.daltonstate.edu/)
16:11:02	35105/35105	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:05%20GMT	https://www.daltonstate.edu/about/departmental-directory.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/departmental-directory.html	(from https://www.daltonstate.edu/)
16:11:04	17590/17590	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:06%20GMT	https://www.daltonstate.edu/about/calendars.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/calendars.html	(from https://www.daltonstate.edu/)
16:11:05	19015/19015	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:07%20GMT	https://www.daltonstate.edu/about/about-dalton-overview.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/about-dalton-overview.html	(from https://www.daltonstate.edu/)
16:11:06	29949/29949	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:09%20GMT	https://www.daltonstate.edu/about/history.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/history.html	(from https://www.daltonstate.edu/)
16:11:07	19799/19799	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:10%20GMT	https://www.daltonstate.edu/about/mission.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/mission.html	(from https://www.daltonstate.edu/)
16:11:09	24506/24506	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:11%20GMT	https://www.daltonstate.edu/about/facts-figures.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/facts-figures.html	(from https://www.daltonstate.edu/)
16:11:10	3322/3322	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2013%20Nov%202022%2010:42:12%20GMT	https://www.daltonstate.edu/about/campus-map.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/campus-map.13.delayed	(from https://www.daltonstate.edu/)
16:11:12	9264/9264	---M-Z	200	added ('OK')	text/html	etag:%22a38c5cda556d51:0%22	https://www.daltonstate.edu/map/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/map/index.html	(from https://www.daltonstate.edu/)
16:11:12	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2013%20Nov%202022%2010:42:14%20GMT	https://www.daltonstate.edu/about/leadership.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/leadership.14.delayed	(from https://www.daltonstate.edu/)
16:11:13	22025/22025	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:15%20GMT	https://www.daltonstate.edu/about/president.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/president.html	(from https://www.daltonstate.edu/)
16:11:14	33305/33305	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:16%20GMT	https://www.daltonstate.edu/about/roadrunner-spotlight-archive.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/roadrunner-spotlight-archive.html	(from https://www.daltonstate.edu/)
16:11:15	19003/19003	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:18%20GMT	https://www.daltonstate.edu/about/about-strategic-planning.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/about-strategic-planning.html	(from https://www.daltonstate.edu/)
16:11:16	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2013%20Nov%202022%2010:42:19%20GMT	https://www.daltonstate.edu/about/accreditation.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/accreditation.18.delayed	(from https://www.daltonstate.edu/)
16:11:17	19634/19634	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:20%20GMT	https://www.daltonstate.edu/about/acred-overview.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/acred-overview.html	(from https://www.daltonstate.edu/)
16:11:18	0/0	---M--	302	error ('Found')	text/html	date:Sun,%2013%20Nov%202022%2010:42:21%20GMT	https://www.daltonstate.edu/about/institutional-research.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/institutional-research.1a.delayed	(from https://www.daltonstate.edu/)
16:11:20	19563/19563	---M-Z	200	added ('OK')	text/html	date:Sun,%2013%20Nov%202022%2010:42:22%20GMT	https://www.daltonstate.edu/about/institutional-welcome.cms	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day21/Web104/Site104/www.daltonstate.edu/about/institutional-welcome.html	(from https://www.daltonstate.edu/)
